"id";"swls_1_t1";"swls_2_t1";"swls_3_t1";"swls_4_t1";"swls_5_t1";"uls_1_t1";"uls_2_t1";"uls_3_t1";"uls_4_t1";"uls_5_t1";"uls_6_t1";"uls_7_t1";"uls_8_t1";"uls_9_t1";"awb_1_t1";"awb_2_t1";"awb_3_t1";"awb_4_t1";"awb_5_t1";"awb_6_t1";"demog_ses_t1";"party_affiliation_t1";"support_election2020_t1"
"FA20_5K7B05J08277";1;3;1;1;1;4;2;2;4;2;2;3;4;3;4;5;2;3;2;4;5;2;2
"FA20_5LVYXVFCEZA9";4;4;4;4;4;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;NA;2;1
"FA20_5LZ04TT9OMPY";1;3;2;3;2;4;2;2;4;3;1;2;4;1;3;5;2;5;2;2;8;2;2
"FA20_5O972WLZHQFH";2;2;5;2;2;4;3;4;3;4;4;3;4;2;2;5;4;3;5;1;7;2;2
"FA20_5PGYS8YMJ7PK";5;4;3;3;3;3;4;3;3;4;3;3;4;2;1;3;3;5;1;3;5;2;2
"FA20_5Q6Q8EA4O0FL";2;2;3;6;1;3;2;4;3;4;3;2;3;3;4;5;1;5;1;2;7;2;2
"FA20_5QQCTDBWOOEC";3;2;2;2;6;4;3;3;4;3;2;2;4;2;3;5;3;2;4;4;9;4;2
"FA20_5SAJRACHRCNL";2;2;1;6;1;3;2;3;1;4;1;2;2;3;2;5;1;5;1;2;5;2;2
"FA20_5SXI7HF90IG7";6;6;5;6;4;3;4;3;3;3;3;3;3;3;1;3;4;1;3;2;8;1;1
"FA20_5T5KVD0THMII";3;3;5;5;3;2;3;4;3;4;4;4;3;4;2;5;4;3;3;2;8;2;2
"FA20_5VCSPSIMHL1I";5;5;5;6;6;2;3;4;3;4;3;3;3;3;2;5;4;3;4;1;9;2;2
"FA20_5WPU4OHE3QWT";5;4;5;4;3;2;3;4;3;3;4;3;3;2;3;3;3;4;3;2;6;2;2
"FA20_5WXDO9CU7FGC";5;5;5;6;2;3;4;3;2;3;4;3;2;4;3;4;4;3;4;4;5;2;2
"FA20_5XXLF8A4JZS6";5;6;5;4;4;2;3;4;3;4;4;4;3;4;2;4;4;2;3;3;7;2;2
"FA20_5YEEYJ7U2X71";1;2;1;1;1;3;3;3;4;3;3;3;3;2;1;5;3;3;2;2;4;2;2
"FA20_60KKD7M33JRS";4;5;5;5;3;3;3;4;2;4;2;2;2;3;2;4;4;2;2;1;6;4;2
"FA20_60TZSWSJCXBE";1;1;1;1;1;4;1;1;4;1;1;1;4;1;1;5;1;5;1;1;5;4;3
"FA20_63QELRN5SEBB";5;6;5;6;6;3;3;4;3;4;3;3;3;4;2;2;3;3;4;3;8;1;1
"FA20_641FGGRLZ66S";6;6;6;6;6;3;3;3;3;3;3;3;3;3;2;3;4;2;3;3;4;2;2
"FA20_65LA8QRH88W2";5;5;6;4;6;3;4;4;3;4;4;3;3;3;1;4;4;3;3;3;6;4;2
"FA20_6ALBZ8A4C6WK";5;6;6;5;4;2;4;4;2;4;4;4;2;4;2;3;2;1;3;2;7;1;3
"FA20_6CHXRBKMGVN6";6;5;4;3;4;3;4;4;1;4;4;4;3;3;1;2;4;2;4;2;8;2;2
"FA20_6FV1II132CUF";3;4;4;4;3;2;3;4;3;4;3;3;3;2;2;3;4;2;3;4;8;4;1
"FA20_6JXHZX3SD9EC";3;6;5;4;4;4;4;2;3;2;2;2;3;3;4;5;4;5;3;1;NA;4;1
"FA20_6K6RRGWKBBN6";3;4;3;4;4;3;3;3;3;4;3;3;3;3;2;4;2;2;2;3;7;2;2
"FA20_6KKUUQIR4HWF";5;6;6;7;5;1;4;4;2;4;4;4;2;4;2;3;5;2;5;4;7;1;1
"FA20_6KLKMOE12TEU";3;7;5;5;3;2;3;4;2;4;4;4;2;4;3;4;2;2;3;2;4;4;3
"FA20_6KT1SA9XP5DR";4;5;4;4;3;3;4;3;3;3;3;3;3;4;3;5;3;4;3;2;6;4;NA
"FA20_6MR1B89IC49N";1;2;2;2;2;3;4;3;3;3;4;3;3;3;4;3;3;4;3;4;6;2;2
"FA20_6OVV7WQNFH6S";3;3;5;3;5;3;3;4;2;4;3;3;3;2;2;1;3;3;4;3;6;2;2
"FA20_6P7ZDV2NURY7";5;6;6;7;2;2;1;4;3;4;3;3;2;2;3;4;4;3;1;3;6;2;2
"FA20_6PAZ0W1NMROG";1;1;1;1;1;4;4;4;4;4;4;3;3;3;3;3;4;4;4;2;7;2;2
"FA20_6PP5DS82IEEX";3;3;3;4;3;4;2;3;3;3;2;3;3;2;2;4;2;4;2;1;7;1;1
"FA20_6PS1F63XFGYA";6;6;6;6;4;2;4;4;3;4;3;4;2;4;1;1;4;2;4;2;6;2;2
"FA20_6QRPR6XE0GCJ";5;6;7;7;7;2;4;2;3;3;3;3;3;3;3;4;5;4;3;3;9;2;2
"FA20_6QYVFIYOJKPL";4;4;3;4;3;4;3;3;3;2;2;3;4;3;2;5;2;4;3;1;6;2;2
"FA20_6RRB7RD66BEJ";5;6;6;6;6;3;4;4;3;4;3;3;2;4;2;2;4;2;4;3;6;2;2
