"id";"momentary_wellbeing_angry_ema";"momentary_wellbeing_worried_ema";"momentary_wellbeing_happy_ema";"momentary_wellbeing_sad_ema";"momentary_wellbeing_stressed_ema";"momentary_wellbeing_lonely_ema";"momentary_wellbeing_accepted_ema";"momentary_context_activity_ema";"momentary_context_social_media_ema"
"FA20_BLHC5JG1OGX6";2;4;1;4;4;4;2;"1,2,4,5,12,18";2
"FA20_OQBJ7QG1EPRS";1;2;3;2;3;3;2;"5";1
"FA20_PIPJ6IDWUJT8";1;3;2;3;3;3;2;"5,15";1
"FA20_AUVDM3655JWU";2;3;2;3;4;2;2;"1,2,4,5,16,17,18";1
"FA20_G80MXJMUT02V";1;1;3;1;1;2;2;"1,5,8,12,18";1
"FA20_6Z3DJ0GJO69M";1;1;4;1;1;1;3;"1,4,5,7,13";1
"FA20_XJ4HDRW4ZIND";1;2;2;2;2;2;2;"1,2,4,5,10,12,18";1
"FA20_1AQ4PRUN0HNH";1;1;3;1;1;3;3;"2,4,5,9,12,15,18";2
"FA20_PMBBB66IPQMR";1;2;4;1;2;1;3;"5,9,18";2
"FA20_NMGMYK26F0K3";1;1;2;1;2;2;2;"1,6,18";NA
"FA20_J3XX7NX7M0J4";1;2;2;1;3;2;3;"1,2,5";2
"FA20_2NNCB8CH28S6";2;2;2;2;2;3;1;"2,4,5,12,18";1
"FA20_HPNSQA8YVE1L";3;2;2;2;4;2;2;"1,4,9";NA
"FA20_2YLZWYF9DPN4";1;1;1;2;2;2;1;"1,4,5";2
"FA20_4N4QJHCFYM6L";1;3;1;1;3;2;1;"1,2";NA
"FA20_RBXABO5QVHAQ";1;3;1;1;3;1;2;"15,16";NA
"FA20_9MANZMHCN9NR";1;2;4;2;3;2;3;"1,2,4,5,7,12,15";1
"FA20_FL9IY2ADH0EE";1;1;2;2;2;1;3;"1,4,5";1
"FA20_7T6T7JJ5OIFT";1;1;3;1;2;2;1;"8";NA
"FA20_1CT1IHMU8IGH";2;2;2;1;2;1;3;"19";NA
"FA20_P45EI5I72MH5";1;2;2;2;2;1;3;"15";NA
"FA20_7LTLZXLJF9GR";1;2;2;1;2;1;2;"1,5,15";1
"FA20_9M6LKHMPM0OZ";1;1;2;1;3;1;2;"2";NA
"FA20_VWI7866TXH6F";1;1;4;1;2;1;4;"1,2,4,5,12,18";1
"FA20_1RVSM5GCVVGM";1;2;2;1;1;3;2;"1,2,4,18";NA
"FA20_6P7ZDV2NURY7";1;1;1;1;2;1;2;"4,5,8,12";2
"FA20_HIY56A97WFYM";1;1;3;1;2;1;4;"15";NA
"FA20_PZUG7CRADML1";1;1;3;1;1;1;4;"1,4,7,18";NA
"FA20_UE5T3BFRY00W";1;3;3;2;4;1;3;"2,11,12";NA
"FA20_KDYPQA38VG0J";1;2;2;1;2;1;3;"2,5,11";2
"FA20_HHGYKXHVC4D4";2;2;1;4;3;4;1;"1,5";3
"FA20_K2C0RQ48JV5F";1;2;3;2;2;1;3;"19";NA
"FA20_EUO9FL3KLH2Y";1;1;4;1;1;1;4;"1,7,12,18";NA
"FA20_WBFWJ4BM466K";1;2;3;2;3;3;3;"8,10,18";NA
"FA20_HOVEUFNI77TA";1;2;2;1;2;2;2;"1,2,4,5,18";1
"FA20_542LNPOBACIQ";1;2;1;4;4;3;1;"15";NA
"FA20_D54124WPYK9G";1;2;3;1;2;2;4;"5,7,11,12,13,15,18";1
"FA20_QBRMAPUN0UX1";1;4;2;1;4;2;3;"1";NA
"FA20_BK8NXRY5R5U1";1;1;2;2;1;1;2;"4,5,15";2
"FA20_OR4ZWH416ZID";1;2;3;1;2;1;3;"1";NA
"FA20_LMHB72O8VAC5";1;1;1;1;1;1;3;"8";NA
"FA20_5PGYS8YMJ7PK";2;1;2;2;1;2;2;"2,11,18";NA
"FA20_56OKHEJHYIRD";1;1;4;1;2;1;4;"1,5,18";1
"FA20_KDGDWJNY69CP";1;2;2;1;2;3;2;"2,5,9,18";1
"FA20_3TP97VFVUXGY";2;3;4;1;3;1;4;"1,18";NA
"FA20_ABIE02B4NYUW";1;1;4;1;1;1;4;"1";NA
"FA20_ZE7N74JP3LHT";2;3;1;3;3;2;3;"1,2,5,15,18";2
"FA20_E5MZCP47FWN1";3;4;2;2;3;2;3;"1,5,12";1
"FA20_97FAF9VZ734C";2;4;2;2;4;1;NA;"2,12";NA
"FA20_CPKHDJK7YBIV";1;1;1;1;1;1;1;"1,4";NA
"FA20_32Y7VBSSEXG3";1;3;2;2;2;2;4;"2,4,18";NA
"FA20_UBVHTIQ1VZQK";1;4;1;1;4;1;1;"2";NA
"FA20_UBCDYCA0OCDK";1;1;3;2;4;3;2;"1,2,5,9";2
"FA20_QBDGL5404TFG";1;3;2;1;4;2;3;"1,4,5,18";1
"FA20_19AFKNN3LB92";2;3;2;1;4;2;3;"2";NA
"FA20_60TZSWSJCXBE";1;4;1;4;4;2;1;"1,2,4,5,15,18";1
"FA20_0MKHHGE0CE9G";1;1;1;1;1;1;NA;"2,10,15";NA
"FA20_7QWVRM603IBY";1;3;2;1;4;3;2;"12,18,19";NA
"FA20_ZMGS8WCKIZH0";1;2;4;1;3;1;3;"1,2";NA
"FA20_0ME93O1LSDR2";1;3;2;3;4;1;3;"1,4";NA
"FA20_IVNSV6200VQE";1;1;2;1;2;1;2;"2,5,12";2
"FA20_AN3YPS0CBOYL";1;1;1;1;2;1;2;"1,5";1
"FA20_GZRUS5COXY9I";1;4;2;2;4;1;3;"1,2,18";NA
"FA20_5YEEYJ7U2X71";1;1;1;1;3;2;2;"2,5,10";3
"FA20_EZIIOK1D45H3";1;1;2;1;4;1;2;"3";NA
"FA20_1JDDLHMVB4ML";1;1;3;1;2;1;3;"1";NA
"FA20_UJJHAA9L7IOJ";1;3;2;1;4;2;2;"5,18";3
"FA20_TVWIXKA2JMOB";1;4;2;2;4;2;3;"2";NA
"FA20_9DMW3O6RBU8Y";1;2;3;1;3;2;3;"1,2,11,12,18";NA
"FA20_PI9Z0PSXLREI";1;2;2;2;3;3;2;"1,18";NA
"FA20_QJ0LQCNDOVOU";1;2;3;1;2;1;2;"2,5,8,12,13,18";1
"FA20_M71OBT45EJ8B";1;1;3;2;2;3;2;"1,5,12";2
"FA20_VK0V8Z8PTEEU";2;4;2;3;4;2;3;"2,11";NA
"FA20_7CTRIIMK3C79";1;2;2;1;2;2;2;"7,18";NA
"FA20_F4E3C9V02ZNX";1;2;2;2;3;1;1;"1,4,5,10,15,18";1
"FA20_JEPC7IYEL2JT";1;1;2;1;3;1;2;"15";NA
"FA20_LY1AQJRCU9WK";1;1;2;1;2;1;3;"1,2,12";NA
"FA20_0GN5N1TAG1XZ";1;1;4;1;1;1;3;"11";NA
"FA20_VEB1Z0O8R3DU";1;2;2;1;3;1;1;"1,2,4,5";1
"FA20_NRXINWLMZO8I";1;2;1;1;3;2;2;"1,2,5,13,18";2
"FA20_UMTG2QH5XFWJ";1;1;3;1;1;1;3;"2,4,5,13";2
"FA20_CFEQCWUYTXE8";1;2;2;1;3;1;2;"1";NA
"FA20_VMFTJ7O8X6QM";1;1;2;1;2;1;3;"15";NA
"FA20_FTH4MHSL8FNZ";1;2;2;2;3;3;2;"5,15";1
"FA20_DZ9KY0STG8LV";1;2;1;2;2;2;1;"15";NA
"FA20_M0AVSJPPH244";2;4;2;1;4;3;3;"2";NA
"FA20_11G699LZZFCO";1;2;2;2;3;2;2;"15";NA
"FA20_XH49Y8HW414C";1;2;3;1;2;2;2;"7,8,12";NA
"FA20_EY5MYDEAMHS1";1;1;4;2;1;1;3;"11";NA
"FA20_R7K408JV0A6I";1;4;2;4;4;3;4;"15";NA
"FA20_099DSJXP660I";1;3;2;3;4;2;3;"1,2,12";NA
"FA20_2OYTJ60D2K3L";1;1;2;1;1;1;2;"15";NA
"FA20_QQ72JKP8R2SQ";2;4;3;3;4;1;2;"1,2,5";1
"FA20_8WNH9ET55K7S";1;1;4;1;1;1;4;"4,9";NA
"FA20_K488SKPI1XJO";1;1;2;1;1;1;4;"1";NA
"FA20_XZX7ZXXEVZ8D";1;3;3;1;2;1;4;"2,5,18";2
"FA20_M0UL1LG2ZYWO";1;2;2;3;3;2;3;"1,4,5,7,12";2
"FA20_Y0XLCERULQA1";1;2;4;1;3;1;4;"15";NA
